Word,Meaning
aadaan²,"aadaan² f.mg1 (-aamay, -aantay) 1. Cod dheer ugu yeerid muslimiinta waqtiyada salaadda. 2. Kor u qaylin neef riyo ah xanuun dartiis. ld aaddan², eedaan²."
aadaan¹,"aadaan¹ m.l 1. Ogeysiin cod dheer leh oo mu'addinku ugu yeero muslimiinta waqtiyada salaadda. 2. Ci' dheer oo neef riyo ahi uu sameeyo marka uu xanuunsado. ld aadaamid, aaddan¹, eedaan¹."
aadami,"aadami m.l.u 1. Dadka Eebahay dunida guudkeeda ku abuuray oo dhan. 2. Aadami ahaan. ld aadane, aadmi."
aadaminnimo²,"aadaminnimo² m.dh 1. (fals.) Isku taxluujin ku xiran danaha aadamiga, anshaxiisa iyo barashadiisa. 2. (fals.) Dhaqanka qorista (qarnigii 14aad ilaa iyo kii 16aad ee ku saleysan barashada Giriigga iyo Roomaaniyiintii hore)."
aadaminnimo¹,"aadaminnimo¹ m.dh Aadami ahaansho. ld aadminnimo."
aadane,"aadane m.l ld aadami."
aaddamid,"aaddamid m.dh ld aadaamid."
aaddan²,"aaddan² f.mg1 (-damay, -dantay) ld aadaan²."
aaddan³,"aaddan³ f.g/mg4 (-naa, -nayd) 1. (f.g) Is aa.: laba nafley wax da'da ama xoogga iska le'eg ahaansho. 2. (f.mg) Ku aa.: wax, wax kale ku beegan ahaansho. Tus. “Guriga Cali wuxuu ku aaddanyahay Baar Ubax”. 3. (f.mg) Ku aa.: wax, wax kale muuqaalkooda isku gudbay ahaansho. 4. (f.mg) Ku soo aa.: wax la filayo in uu meel yimaaddo ama ku dhaco waqti go'an ahaansho."
aaddan¹,"aaddan¹ m.l ld aadaan¹."
aaddin,"aaddin m.f.dh eeg aaddi. ld aadin, aadsiin."
aadeer,"aadeer m.dh ld adeeryo."
aadi,"aadi f.g2 ld aaddi."
aadid,"aadid m.f.dh eeg ąad³; ld ąad¹."
aadimo,"aadimo m.l 1. (fiis.) Cabbir xariiqeedka laga qaaday walax adke ah sida dhererka (l), ballaca (b) ama joogga (h). 2. (fiis.)“Addimaha Xaddiyada Fisikaad” waa habka xaddiyada fisikaad looga soo dhirindhiriyo xaddi saleedyada oo la saaro jibbaaro habboon."
aadin,"aadin m.dh ld aaddin."
aadiraac,"aadiraac m.l Dhicinta uu neef markaas rimay dhiciyo; qubeys."
aadmi,"aadmi m.l ld aadami."
aadminnimo,"aadminnimo m.dh ld aadaminnimo¹."
aadsii,"aadsii f.g2 (-iiyay, -iisay) ld aaddin."
aadsiin,"aadsiin m.dh ld aaddin."
aadyar,"aadyar m.dh.fk ld aayar."
Ąad²,"Ąad² m.dh.fk (-dyo, m.l) 1. Isku beegnaanta laba meelood ama shay. 2. Badan, si daran. 3. A. yar: ld aayar."
Ąad³,"Ąad³ f.g/mg1 (-day, -dday) 1. (f.g) Meel u socdaalid ama u kicid. 2. (f.mg) Ku a.: wax wax kale u dhigmid. 3. (f.mg) Ku ąa.: cunto cabid iwm cid ku filnaan. 4. (f.mg) Ku ąa.: wax muuqaalkooda wax kale isku gudbid. 5. (f.mg) Ku ąa.: meel aadisteeda wax u adeegsasho. Tus. “Cali baabuur buu Kismaayo ku aaday”."
Ąad¹,"Ąad¹ m.l (-dyo, m.dh) 1. Isku ąa. cayaar: isku beegnaan cayaar. 2. ld aadid."
aaf,"aaf m.dh.u Meel la deggenyahay ama ceel agagaarkood."
aafayn,"aafayn m.dh eeg aafee. ld aafeyn."
aafee,"aafee f.g2 (-feeyay, -feysay) Cid aafo gaarsiin."
aafeysan,"aafeysan f.mg4 (-snaa, -snayd) Wax aafo haleeshay ahaansho."
aafeysnaan,"aafeysnaan m.f.dh eeg aafeysan. ld aafeysnaansho."
aafeysnaansho,"aafeysnaansho m.l/dh ld aafeysnaan."
aafo,"aafo m.dh (-ooyin, m.l) Dhibaato weyn oo abaar, cudur ama colaadi ay keentay oo guud ahaan u saameysa nafley badan; dhibaato aad u weyn."
aafoobid,"aafoobid m.f.dh eeg aafow."
aafow,"aafow f.mg1 (-oobay, -owday; -oobi) Wax aafeysan noqosho (nafley badan)."
aag,"aag m.l.u Dhul ballaaran oo meel la yaqaano ku fadhiyo. Tus. “Aagga Ceelbuur waxaa laga helaa dhagax jilicsan oo burjikooyinka laga qoro”."
aagaan²,"aagaan² m.dh (-aamo, m.l) Haan yar oo biyaha ama caanaha lagu shubto."
aagaan¹,"aagaan¹ m.l (-nno, m.l/dh) Weel yar oo wax lagu shuban karo oo haamaha lagu aabburo."
aagga-qabow,"aagga-qabow m.l (-gag-qabow, m.l) (jool.) Soohdinta dhulka dushiisa ee kala soocda hawo qabow iyo hawo diiran. Hawada qabow ayaa hoos ka cadaadisa tan diirran."
aah,"aah e.d Cod yar oo qof xanuun hayo ka soo baxa. ld ah²."
aaho,"aaho m.dh (-ooyin, m.l) Dhiibato weyn oo abaar ama cudur ay keenaan oo guud ahaan saameya naflay badan."
aajur,"aajur m.l.u Jaajuur yaryar oo ka samaysan dhoobo guduudan oo wax lagu dhiso."
aakhir,"aakhir m.l 1. Kan dambe. 2. Quraanka qaybtiisa damba. ld aakhiritaan."
aakhiritaan,"aakhiritaan m.l ld aakhir."
aakhiro,"aakhiro m.dh Meesha iyo nolosha dambe ee lagu noolaan doono marka adduunka laga tago."
aakhirutahan,"aakhirutahan m.l ld aakhir."
aakib,"aakib m.l 1. Ka aa. ah: faa'iidada laga rajeynayo fal lagu dhaqaaqi doono. Tus. “Samaynta Warshadda Saabuunta waxa ka aa. ah in ay joogsato tii dibadda ka imaneysay oo lacagta adagi ku baxaysay”. 2. Ka aa. ah: mudnaanta uu wax, wax kale ka leeyahay. Tus. “Tiro badan waxaa ka aa. ah tayo”."
aalaa,"aalaa fk. Inta badan, marar badan, badanaa. Tus.”Aa. ma yimaado saacadahaan”."
ąalad,"ąalad m.dh (-do, m.dh) 1. Qalab mashiin leh oo wax lagu qabsan karo. Tus. “Kombiyuutarku waa ąa. cusub oo cilmibaarista fududaysay”. 2. Qalab lagu dagaallamo; hub. 3. Qalabka dumarku ay qaataan ee isku qurxiyaan mid ka mid ah."
ąalad-kabniin,"ąalad-kabniin m.dh (-do-kabniin, m.l)(daaw.) Aalad adag oo lagu kabo addimada ama meel kale oo jirka ka mid ah marka ay jabaan ama kala baxaan. Waxay ka sameysantahay balaastig ama faashad lagu qooyey wax loo yaqaan “plaster of Paris” waxaana lagu dhejiyaa meesha jaban si dhaqdhaqaaqa looga celiyo lafaha la isu keenay."
ąaladee,"ąaladee f.g2 (-deeyay, -deysay) 1. Wax qalabeyn. 2. Wax qurxin. 3. Ciidan hubayn. 4. Cunto si ay caraf iyo dhadhan u yeelato geedo ku darid."
ąaladeyn,"ąaladeyn m.f.dh eeg ąaladee."
ąaladeysan,"ąaladeysan f.mg4 (-snaa, -snayd) 1. Wax la qalabeeyay ahaansho. 2. Wax la qurxiyay ahaansho. 3. Wax la hubeeyay ahaansho (ciidan)."
ąaladeysnaan,"ąaladeysnaan m.f.dh eeg ąaladeysan. ld ąaladeysnaansho."
ąaladeysnaansho,"ąaladeysnaansho m.l/dh ld ąaladeysnaan."
aale,"aale m.l Geed lugtool ahaan u baxa, sida qasabka, galleyda, maseggada, qaysaraanta iwm."
aalkol,"aalkol m.l Dareere aan midab lahayn oo dabka qabsan og, boogahana lagu dhaqo. ld aalkolo."
aalkolo,"aalkolo m.dh ld aalkol."
aallid,"aallid m.f.dh eeg aal². ld oollid."
aalo,"aalo m.dh.u Lo'da inteeda aan weli gaarin da'dii ay rimi ama wax rimin lahayd. aamanuu m.dh Waqti hore oo aad u fog."
aal¹,"aal¹ m.dh.fk Aashay, -aa, -iis iwm: si aan degdeg iyo fudayd toona ku jirin; aayar, tartiib, qunyar. Tus. “Ciise aashiis buu hadlaa”."
aameel,"aameel m.l (-llo, m.dh) 1. Weel qori ka samaysan oo aan dabool lahayn oo lo'da iyo geela lagu maalo; haruub; doobi.2. Wixii waxay arkaan iska raacaan."
ąamiin,"ąamiin m.dh ld ąammiin."
ąamiinsad,"ąamiinsad m.l ld ąamiinsasho."
ąamiinsasho,"ąamiinsasho m.dh ld ąammiinsasho."
ąamiinsi,"ąamiinsi m.l ld ąammiinsasho."
ąamiinso,"ąamiinso f.mg3 (-saday, -satay) ld ąammiinso."
ąammiin,"ąammiin m.dh Erey la yiraahdo marka la duceysto kaddib, oo ujeeddadiisu tahay in Ilaah aqbalo ducada. ld ąamiin."
ąammiinsad,"ąammiinsad m.l ld ąammiinsasho."
ąammiinsasho,"ąammiinsasho m.f.dh eeg ąamminso. ld ąamiinsad, ąamiinsasho, ąamiinsi, ąammiinsad, ąamm."
ąammiinso,"ąammiinso f.mg3 (-saday, -satay) Aaammiin dhihid. ld ąamiinso."
ąamminaad,"ąamminaad m.dh ld ąamminid."
ąamminbax,"ąamminbax f.mg1 (-xay, -xday; -bixi) Ka ąa.: qof, cid aamminkii uu ku qabay lumin."
ąamminbixid,"ąamminbixid m.f.dh eeg ąamminbax."
ąammindarreysad,"ąammindarreysad m.l ld ąammindarreysasho."
ąammindarreysasho,"ąammindarreysasho m.f.dh ld ąammindarreysad, ąammindarreysi."
ąammindarreysi,"ąammindarreysi m.l ld ąammindarreysasho."
ąammindarreyso,"ąammindarreyso f.mg3 (-stay, -satay) Ka ąa.: cid ka ąamminbixid."
ąammindarro,"ąammindarro m.dh Kalsooni la'aan."
ąamminid,"ąamminid m.f.dh eeg ąammin²."
ąamminnimo,"ąamminnimo m.dh Ąammin ahaansho."
ąamminsan,"ąamminsan f.g4 (-naa, -nayd) 1. Qof, wax cid aammin ku qaba ahaansho. 2. Qof, wax rumaysan jirista Eebbe iyo diimaha ahaansho. Tus. “Diinta Islaamka ayaan aamminsanahay”."
ąamminsanaan,"ąamminsanaan m.f.dh eeg ąamminsan. ld ąamminsanaansho."
ąamminsanaansho,"ąamminsanaansho m.l/dh eeg ąamminsanow; ld ąamminsanaan."
ąamminsanow,"ąamminsanow f.g3 (-naaday, -naatay) 1. Qof, wax cid aamminka ku qabo noqosho. 2. Qof, wax rumaysan jiritaanka Eebbe iyo diinta noqosho."
ąamminsii,"ąamminsii f.lg2 (-iiyay, -iisay) Qof in uu wax aammino ka oggoleysiin."
ąamminsiin,"ąamminsiin m.f.dh eeg ąamminsii."
ąammin²,"ąammin² f.g1 (-nay, -ntay) 1. Cid kalsooni ku qabid. 2. Ku ąa.: cid si kalsooni leh wax ugu dhiibasho."
ąammin¹,"ąammin¹ m.l 1. Aan dhagar iyo laqdabo aqoon; daacad; lillaahi (qof). 2. Nabad ah; aan cabsi lahayn (meel)."
aammusan,"aammusan f.mg4 (-snaa, -snayd) Wax aan hadlayn ahaansho; shibban (cid)."
aammusdaran,"aammusdaran f.mg4 (-rnaa, -nayd) Wax aan aammusaynin (cid)."
aammusdarnaan,"aammusdarnaan m.f.dh eeg aammusdaran. ld aammusdarnaansho."
aammusdarnaansho,"aammusdarnaansho m.l/dh ld aammusdarnaan."
aammusi,"aammusi f.g2 (-iyay, -isay) Hadal, qaylo ama oohin cid ka celin. Tus. “Carruurta ka aammusi qofka jirran”."
aammusid,"aammusid m.f.dh eeg aammus². ld aammus¹."
aammusin,"aammusin m.f.dh eeg aammusi. ld aammusis."
aammusis,"aammusis m.l ld aammusin."
aammusnaan,"aammusnaan m.f.dh eeg aammusan. ld aammusnaansho."
aammusnaansho,"aammusnaansho m.l/dh ld aammusnaan."
aammus²,"aammus² f.mg1 (-say, -stay) 1. Hadal joojin. 2. Wax sheegiddiisa ka gaabsasho."
aammus¹,"aammus¹ m.l 1. Hadal la'aan. 2. Shib. 3. ld aammusid."
aanayn,"aanayn m.f.dh eeg aanee. aanaysad m.l ld aanaysasho."
aanaysasho,"aanaysasho m.f.dh eeg aanayso. ld aanaysad, aanaysi."
aanaysi,"aanaysi m.l 1. Godob u raadsi. 2. Xigtaysi. ld aanaysasho."
aanayso,"aanayso f.g/mg3 (-stay, -satay) 1. Godob u raadsasho. 2. Qaraabannimo ama saaxibnimo awgeed cid u xigsasho (qof)."
aanee,"aanee f.g/mg2 (-neeyay, -naysay) 1. (f.g) U aa.: cid, cid kale oo dakano ka gashay ka gudid. 2. (f.mg) U aa.: wax dhacay cid ku tuhmid. Tus. “Waxyeelada baabuurka gaartay waxaa loo aaneynayaa taxaddar la'aanta shufeerka”."
aannu,"aannu mu.dhm.y Magacuyaal tilmaamaya qofka koowaad ee wadarta ah (marka laga reebo lala hadlaha). Tus. “Xafiiska aannu aragnay waa xafiiskaada cusub”. ld aan1."
aano,"aano m.dh Dhibaato hore oo ciddii loo geystay aanay illaawin; godob; utun; dakano."
aan²,"aan² qr.diid Qurub tilmaamaya in weertu tahay weer diidmo, weer xor ah ama midaan ahayn tu ay tahayba. Tus. “Miyaan fadhigii la qaban?”, “Yaan lacag la siin!”, “Wiilka aan imaanini waa Cali”. ld an."
aan¹,"aan¹ mu.dhm.y 1. Magacuyaal tilmaama qofka koowaad ee kelida ah (hadlaha ama wax qoraha). Tus. “Meel aan ku nasto ayaan doonayaa” 2. ld aannu."
aaraa',"aaraa' m.dh.w eeg ra'yi."
aarad,"aarad m.dh (-do, m.l) Liid maro ah oo qurxin awgeed loogu tolo dacallada maryaha la xirto iyo daahyada."
aaradee,"aaradee f.g2 (-deeyay, -deysay) Maro ama daah aarad u yeelid."
aaradeyn,"aaradeyn m.f.dh eeg aaradee."
aaradeysan,"aaradeysan f.mg4 (-snaa, -snayd) Wax aarad loo yeelay ahaansho (maro, daah iwm)."
aaradeysnaan,"aaradeysnaan m.f.dh eeg aaradeysan. ld aaradeysnaansho."
aaradeysnaansho,"aaradeysnaansho m.l/dh ld aaradeysnaan."
aaran,"aaran m.l.u 1. Geela intiisa aan weli gaarin da'dii uu ku rimi ama wax ku rimin lahaa. 2. Doog iyo barwaaqo badan. 3. Aa. ah: meel doog badan leh. 4. Aa. ah: waqti doog iyo barwaaqo leh."
aarbax²,"aarbax² f.mg1 (-xay, -xday; -bixi) 1. Ka aa.: qof eed loo haystay iska daaficid. 2. Ka aa.: qof ka aargudasho."
aarbax¹,"aarbax¹ m.l ld aarbixid."
aarbi-aar,"aarbi-aar m.l Qaab loo ciyaaro turubka."
aarbixid,"aarbixid m.f.dh eeg aarbax². ld aarbax¹."
aardoon,"aardoon m.l Qof, qof kale oo dakane ka galay raadinaya. ld aardoonad, aardoonasho, aarsashaddoon."
aardoonad,"aardoonad m.l ld aardoonasho."
aardoonasho,"aardoonasho m.f.dh eeg aardoono. ld aardoonad."
aardoono,"aardoono f.mg3 (-ntay, -natay) Qof in uu aano soo guto meel u aadid."
aargalaan,"aargalaan m.l (-nno, m.dh) Weel siin ah, dheg leh oo wax lagu cabbo."
aargoonle,"aargoonle m.l Nooc dawacada ka mid ah, midab bey madow ah leh oo aad ariga u laysa."
aargoosad,"aargoosad m.l ld aargoosasho."
aargoosasho,"aargoosasho m.f.dh eeg aargooso. ld aargoosad, aargoosi."
aargoosi,"aargoosi m.l ld aargoosasho."
aargooso,"aargooso f.mg3 (-stay, -satay) Ka aa.: cid, cid kale oo waxyeelo u geystay ka gudasho."
aargud,"aargud f.mg1 (-day, -dday) 1. Ka aa.: cid dakano ay gashay ka gudid. 2. U aa.: cid qof laga dilay, ciddii dishay qof ka mid ah dilid. ld aargudo."
aargudasho,"aargudasho m.dh eeg aargudo. ld aargudid."
aargudid,"aargudid m.f.dh eeg aargud. ld aargudasho, aargudis."
aargudis,"aargudis m.dh ld aargudid. aargudo f.mg3 (-utay, -udatay) ld aargud."
aarid,"aarid m.f.dh eeg aar². ld aaris."
aaris,"aaris m.dh ld aarid."
aarnimo,"aarnimo m.dh Aar ahaansho."
aarsashaddoon,"aarsashaddoon m.l ld aardoon."
aarsasho,"aarsasho m.f.dh eeg aarso. ld aarsi."
aarsi,"aarsi m.l ld aarsasho."
aarso,"aarso f.mg3 (-saday, -satay) Ka aa.: cid, cid kale oo waxyeello u geysatay ka gudasho."
aar²,"aar² f.g/mg1 (-ray, -rtay) 1. (f.g) Alaab (aqal iwm) meel sare saarid. 2. (f.mg) Ka aa.: cid dakano gashay ka gudid. 3. (f.mg) U aa.: cid qof laga dilay, ciddii dishey qof ka mid ah dilid."
aar¹,"aar¹ m.l (-rar, m.l) 1. Libaax weyn oo lab. 2. Nin geesi ah. 3. Aargoosad."
aasaasan²,"aasaasan² f.mg4 (-snaa,-snayd) ld asaasan²."
aasaasan¹,"aasaasan¹ f.mg1 (-smay, -santay) ld asaasan¹."
aasaasi,"aasaasi m.l ld asaasi."
aasaasid,"aasaasid m.dh ld asaasid."
aasaasmid,"aasaasmid m.dh ld asaasmid."
aasaasnaan,"aasaasnaan m.dh ld asaasnaan."
aasaasnaansho,"aasaasnaansho m.l/dh ld asaasnaan."
aasaas¹,"aasaas¹ m.l ld asaas¹. asaasid. aasaas² f.g1 (-say, -stay) ld asaas²."
aasan²,"aasan² f.mg4 (-snaa, -snayd) Wax la aasay ahaansho."
aasan¹,"aasan¹ f.mg1 (-smay, -sanaty; -smi) Wax cidi aastay noqosho."
aashuun,"aashuun m.l (-uummo/-uunno, m.dh) Weel tebedda u eg, dhoobo ka samaysan oo biyaha lagu shubto. ld ashuun."
aasid,"aasid m.f.dh eeg aas². ld aas¹."
aasmid,"aasmid m.f.dh eeg aasan¹."
aasnaan,"aasnaan m.f.dh eeg aasan². ld aasnaansho."
aasnaansho,"aasnaansho m.l/dh eeg aasnow. ld aasnaan."
aasnow,"aasnow f.mg3 (-naaday, -naatay) Wax aasmay noqosho."
aas²,"aas² f.g1 (-say, -stay) Wax dhulka ku xabaalid (dad dhintay); duugid."
aas¹,"aas¹ m.l 1. Xabaalidda meydka; ld aasid. 2. Marka aasku madoobaado: waqtiga qorraxdu dhacdo ee iftiinkeeda la waayo; himhiimow, cilcillow."
aaway,"aaway e.we Erey weyddiimeed, oo sida falka, mararka qaarkood, isu rogroga (sida dh.: awday, w.: aawaye) oo micnihiisu yahay “xaggee laga helaa?” “mee?”. ld aawaye, away, awday."
aawaye,"aawaye e.we ld aaway."
aawi,"aawi f.g1/2 (-iyay, -iday/-isay; -iyi) Wax ururin."
aawilid,"aawilid m.f.dh ld awaalid."
aawil²,"aawil² f.mg1 (-ilay, -ishay) Wax dhicitaankooda ama imaatinkooda filid. ld awaal²."
aawil¹,"aawil¹ m.l ld awaal¹, awaalid."
aawin,"aawin m.f.dh eeg aawi. ld aawis."
aawis,"aawis m.l ld aawin."
aawo,"aawo m.dh Erey aan keligii istaagin in qodob lahaansho lagu daro mooyee, sida: -diis, -deed, -dood iwm oo macnahiisu yahay qof ama wax dartood. Tus. “Cali, Caasha aawadeed ayuu halkan u yimid”. ld aw."
aayad,"aayad m.dh (-do, m.l) 1. Akhriska ama qoridda quraanka inta u dhexeysa laba joogsi. 2. Wax aan hore loo arki jirin oo yaab leh; mucjiso."
aayakatalin,"aayakatalin m.dh Ka tashiga cidi ka tashato mustaqbalkeeda wixii ay ka yeeli lahayd. ld aayakatashi."
aayakatashi,"aayakatashi m.l (siyaa.) Xaqa uu waddan u leeyahay waddan kale in uu kaga xoroobo waddan shisheeye ee haystay, una doorto dawladda uu rabo. ld aayakatalin."
aayar,"aayar m.dh.fk Si deggan oo miyir leh. ld aad yar, aadyar."
aayatiin,"aayatiin m.l (-nno, m.dh) Xaalad xumaan ama samaan leh oo ay cidi ku dambeyso; ciribdambeed. ld aayo¹."
aayaxumaan,"aayaxumaan m.f.dh eeg aayaxun. ld aayaxumaansho, aayaxumi, aayaxumo."
aayaxumaansho,"aayaxumaansho m.l/dh ld aayaxumaan."
aayaxumi,"aayaxumi m.dh ld aayaxumaan."
aayaxumo,"aayaxumo m.dh ld aayaxumaan."
aayaxun,"aayaxun f.mg4 (-umaa, -umayd) Cid aan aayo ficnayn ahaansho."
aaye,"aaye m.dh ld aayo²."
aayid,"aayid m.f.dh eeg ay². ld aayis."
aayis,"aayis m.dh ld aayid."
aayodhiin,"aayodhiin m.l (kiim.) Curiye adke ah oo bida midabkiisuna yahay buluug madow kana tirsan haloojiinada (ururka VII ee tusaha kalgalka curiyayaasha)."
aayon,"aayon m.l ld ayoon."
aayoonayn,"aayoonayn m.dh (kiim.) Habka soo saaridda ayoonnada. aayoonka haydarojiin m.l eeg asiidh; PH."
aayo²,"aayo² m.dh (-ooyin, m.l) 1. Afo waxa ay u tahay carruurta ninkeedu ka dhalay naag kale. 2. Haweeney qof abtigii ama adeerkii qabo. 3. Qof waxa ay u tahay hooyadiis walaasheed; habaryar. ld aaye."
aayo¹,"aayo¹ m.l ld aayatiin."
Aa²,"Aa² mu.dhm.y 1. ld Aad. 2. ld aydin."
aa³,"aa³ e.d Cod lagu muujiyo xanuunka."
aa¹,"aa¹ qr.dd ld baa."
ab'ogaa,"ab'ogaa m.l.u Dad dalka gudihiisa weligii degganaa; aan gadaal ka imaad ahayn."
ab'orijinis,"ab'orijinis m.l.u (-syo, m.dh) Dadka asal ahaan u deggan amase degganaan jiray gobol, gaar ahaanse waxaa lagu istimaalaa dadkii Ustraliya degganaan jiray intii aan caddaanku tegin; ab'ogaa."
abaabi,"abaabi f.g2 ld ababi."
abaabid,"abaabid m.dh eeg abaab². ld ababid. ld abaab¹, abaabis."
abaabin,"abaabin m.dh ld ababin."
abaabis,"abaabis m.dh ld Abaabid; ababid. ld ababis."
abaabulan,"abaabulan f.mg4 (-lnaa, -lnayd) Wax la"
abaabulay,"abaabulay ahaansho (hawl)."
abaabule,"abaabule m.l (-layaal, m.l/dh) Qof hawl qabanqaabiya; qabanqaabiye."
abaabulid,"abaabulid m.f.dh eeg abaabul². ld abaabul¹."
abaabulnaan,"abaabulnaan m.f.dh eeg abaabulan. ld abaabulnaansho."
abaabulnaansho,"abaabulnaansho m.l/dh ld abaabulnaan."
abaabul²,"abaabul² f.g1 (-ulay, -ushay) Si hannaan ama qaab habeysan leh dad u hawlgelin, arrin isku duwid, qabanqaabin."
abaabul¹,"abaabul¹ m.l ld abaabulid."
abaab²,"abaab² f.mg1 (-bay, -btay) ld abab²."
abaab¹,"abaab¹ m.l ld abaabid; abab¹; ababid."
abaadi,"abaadi f.g/mg2 (-iyay, -isay) 1. (f.g) Baadi goobisteed raajin. 2. (f.mg) Ku a.: wax xaalad gaar ah ku raajin. ld abaadsii."
abaadid,"abaadid m.f.dh eeg abaad². ld abaad¹."
abaadin,"abaadin m.f.dh eeg abaadi. ld abaadsiin."
abaadsii,"abaadsii f.g2 (-iyay, -isay) ld abaadi."
abaadsiin,"abaadsiin m.dh ld abaadin."
abaad²,"abaad² f.mg1 (-day, -dday) 1. Ku a.: muddo dheer xaalad gaar ah ku sugnaan, ku waarid. 2. Duugoobid."
abaad¹,"abaad¹ m.l ld abaabid."
abaahin,"abaahin m.f.dh eeg abaahi². ld abaahiyid.abaahiqab m.l ld buudhqab."
abaahis,"abaahis m.l ld abaahiyid."
abaahiyid,"abaahiyid m.f.dh ld abaahi¹, abaahin, abaahis."
abaahi²,"abaahi² f.g1/2 (-iyay, -iday/-isay; -iyi) Hal kudid (awr)."
abaahi¹,"abaahi¹ m.l Isutagga awrka iyo hasha. ld abaahiyid."
abaajiyid,"abaajiyid m.f.dh eeg abaaji²."
abaaji²,"abaaji² f.mg1 (-iyay, -iday; -iyi) Xoolo lumay waa dambe tebid."
abaaji¹,"abaaji¹ m.l Xoolo lumay oo waa dambe la tabay."
abaal,"abaal m.l (-llo, m.dh) 1. Samo cid loo galo. Tus. “Cali, abaal buu ii galay”. 2. Xasuusta wanaagsan ee la isaga hayo samo la isu galay. Tus. “Xasan, abaal baan u hayaa”."
abaalceli,"abaalceli f.mg2 (-iyay, -isay) U a.: abaal la isu galay gudid."
abaalcelin,"abaalcelin m.f.dh eeg abaalceli. ld abaalcelis."
abaalcelis,"abaalcelis m.l ld abaalcelin."
abaaldaran,"abaaldaran f.mg4 (-rnaa, -rnayd) Wax aan abaal lahayn ahaansho (qof)."
abaaldarnaan,"abaaldarnaan m.f.dh eeg abaaldaran. ld abaaldarnaansho."
abaaldarnaansho,"abaaldarnaansho m.l/dh ld abaaldarnaan."
abaaldarro,"abaaldarro m.dh Gudid ama aqoonsi la'aanta abaal la isu galay. ld abaaldarnaan."
abaaldhac²,"abaaldhac² f.mg1 (-cay, -cday; -dhici) Ka a.: samo la isu galay wixii uu mudnaa ku gudid la'aan."
abaaldhac¹,"abaaldhac¹ m.l Samo la isu galay oo wixii uu mudnaa aan lagu gudin. ld abaaldhicid."
abaaldhicid,"abaaldhicid m.f.dh eeg abaaldhac². ld abaaldhac¹."
